iteration	evaluations	runtime[s]	Cuenta_de_+[MAX]	Valor_objetivo-MIN[MIN]
127	3175	0.211	3	18
127	3175	0.211	2	0
128	3200	0.212	5	98
128	3200	0.212	3	18
128	3200	0.212	2	0
129	3225	0.213	5	98
129	3225	0.213	3	18
129	3225	0.213	2	0
130	3250	0.214	5	98
130	3250	0.214	3	18
130	3250	0.214	2	0
131	3275	0.215	5	98
131	3275	0.215	3	18
131	3275	0.215	2	0
132	3300	0.216	5	98
132	3300	0.216	3	18
132	3300	0.216	2	0
133	3325	0.217	5	98
133	3325	0.217	3	18
133	3325	0.217	2	0
134	3350	0.218	5	98
134	3350	0.218	3	18
134	3350	0.218	2	0
135	3375	0.219	5	98
135	3375	0.219	3	18
135	3375	0.219	2	0
136	3400	0.22	5	98
136	3400	0.22	3	18
136	3400	0.22	2	0
137	3425	0.221	5	98
137	3425	0.221	3	18
137	3425	0.221	2	0
138	3450	0.223	5	98
138	3450	0.223	3	18
138	3450	0.223	2	0
139	3475	0.225	5	98
139	3475	0.225	3	18
139	3475	0.225	2	0
140	3500	0.226	5	98
140	3500	0.226	3	18
140	3500	0.226	2	0
141	3525	0.228	5	98
141	3525	0.228	3	18
141	3525	0.228	2	0
142	3550	0.229	5	98
142	3550	0.229	3	18
142	3550	0.229	2	0
143	3575	0.23	5	98
143	3575	0.23	3	18
143	3575	0.23	2	0
144	3600	0.231	5	98
144	3600	0.231	3	18
144	3600	0.231	2	0
145	3625	0.232	5	98
145	3625	0.232	3	18
145	3625	0.232	2	0
146	3650	0.233	5	98
146	3650	0.233	3	18
146	3650	0.233	2	0
147	3675	0.235	5	98
147	3675	0.235	3	18
147	3675	0.235	2	0
148	3700	0.237	5	98
148	3700	0.237	3	18
148	3700	0.237	2	0
149	3725	0.238	5	98
149	3725	0.238	3	18
149	3725	0.238	2	0
150	3750	0.24	5	98
150	3750	0.24	3	18
150	3750	0.24	2	0
151	3775	0.243	5	98
151	3775	0.243	3	18
151	3775	0.243	2	0
152	3800	0.244	5	98
152	3800	0.244	3	18
152	3800	0.244	2	0
153	3825	0.245	5	98
153	3825	0.245	3	18
153	3825	0.245	2	0
154	3850	0.246	5	98
154	3850	0.246	3	18
154	3850	0.246	2	0
155	3875	0.247	5	98
155	3875	0.247	3	18
155	3875	0.247	2	0
156	3900	0.248	5	98
156	3900	0.248	3	18
156	3900	0.248	2	0
157	3925	0.249	5	98
157	3925	0.249	3	18
157	3925	0.249	2	0
158	3950	0.252	5	98
158	3950	0.252	3	18
158	3950	0.252	2	0
159	3975	0.254	5	98
159	3975	0.254	3	18
159	3975	0.254	2	0
160	4000	0.258	5	98
160	4000	0.258	3	18
160	4000	0.258	2	0
161	4025	0.259	5	98
161	4025	0.259	3	18
161	4025	0.259	2	0
162	4050	0.261	5	98
162	4050	0.261	3	18
162	4050	0.261	2	0
163	4075	0.262	5	98
163	4075	0.262	3	18
163	4075	0.262	2	0
164	4100	0.263	5	98
164	4100	0.263	3	18
164	4100	0.263	2	0
165	4125	0.264	5	98
165	4125	0.264	3	18
165	4125	0.264	2	0
166	4150	0.265	5	98
166	4150	0.265	3	18
166	4150	0.265	2	0
167	4175	0.266	5	98
167	4175	0.266	3	18
167	4175	0.266	2	0
168	4200	0.266	5	98
168	4200	0.266	3	18
168	4200	0.266	2	0
169	4225	0.268	5	98
169	4225	0.268	3	18
169	4225	0.268	2	0
170	4250	0.269	5	98
170	4250	0.269	3	18
170	4250	0.269	2	0
171	4275	0.27	5	98
171	4275	0.27	3	18
171	4275	0.27	2	0
172	4300	0.271	5	98
172	4300	0.271	3	18
172	4300	0.271	2	0
173	4325	0.271	5	98
173	4325	0.271	3	18
173	4325	0.271	2	0
174	4350	0.273	5	98
174	4350	0.273	3	18
174	4350	0.273	2	0
175	4375	0.274	5	98
175	4375	0.274	3	18
175	4375	0.274	2	0
176	4400	0.274	5	98
176	4400	0.274	3	18
176	4400	0.274	2	0
177	4425	0.275	5	98
177	4425	0.275	3	18
177	4425	0.275	2	0
178	4450	0.276	5	98
178	4450	0.276	3	18
178	4450	0.276	2	0
179	4475	0.277	5	98
179	4475	0.277	3	18
179	4475	0.277	2	0
180	4500	0.279	5	98
180	4500	0.279	3	18
180	4500	0.279	2	0
181	4525	0.28	5	98
181	4525	0.28	3	18
181	4525	0.28	2	0
182	4550	0.281	5	98
182	4550	0.281	3	18
182	4550	0.281	2	0
183	4575	0.282	5	98
183	4575	0.282	3	18
183	4575	0.282	2	0
184	4600	0.282	5	98
184	4600	0.282	3	18
184	4600	0.282	2	0
185	4625	0.283	5	98
185	4625	0.283	3	18
185	4625	0.283	2	0
186	4650	0.284	5	98
186	4650	0.284	3	18
186	4650	0.284	2	0
187	4675	0.285	5	98
187	4675	0.285	3	18
187	4675	0.285	2	0
188	4700	0.286	5	98
188	4700	0.286	3	18
188	4700	0.286	2	0
189	4725	0.287	5	98
189	4725	0.287	3	18
189	4725	0.287	2	0
190	4750	0.287	5	98
190	4750	0.287	3	18
190	4750	0.287	2	0
191	4775	0.288	5	98
191	4775	0.288	3	18
191	4775	0.288	2	0
192	4800	0.289	5	98
192	4800	0.289	3	18
192	4800	0.289	2	0
193	4825	0.29	5	98
193	4825	0.29	3	18
193	4825	0.29	2	0
194	4850	0.291	5	98
194	4850	0.291	3	18
194	4850	0.291	2	0
195	4875	0.292	5	98
195	4875	0.292	3	18
195	4875	0.292	2	0
196	4900	0.293	5	98
196	4900	0.293	3	18
196	4900	0.293	2	0
197	4925	0.294	5	98
197	4925	0.294	3	18
197	4925	0.294	2	0
198	4950	0.295	5	98
198	4950	0.295	3	18
198	4950	0.295	2	0
199	4975	0.295	5	98
199	4975	0.295	3	18
199	4975	0.295	2	0
200	5000	0.296	5	98
200	5000	0.296	3	18
200	5000	0.296	2	0
201	5025	0.297	5	98
201	5025	0.297	3	18
201	5025	0.297	2	0
202	5050	0.298	5	98
202	5050	0.298	3	18
202	5050	0.298	2	0
203	5075	0.299	5	98
203	5075	0.299	3	18
203	5075	0.299	2	0
204	5100	0.3	5	98
204	5100	0.3	3	18
204	5100	0.3	2	0
205	5125	0.3	5	98
205	5125	0.3	3	18
205	5125	0.3	2	0
206	5150	0.301	5	98
206	5150	0.301	3	18
206	5150	0.301	2	0
207	5175	0.302	5	98
207	5175	0.302	3	18
207	5175	0.302	2	0
208	5200	0.303	5	98
208	5200	0.303	3	18
208	5200	0.303	2	0
209	5225	0.304	5	98
209	5225	0.304	3	18
209	5225	0.304	2	0
210	5250	0.305	5	98
210	5250	0.305	3	18
210	5250	0.305	2	0
211	5275	0.305	5	98
211	5275	0.305	3	18
211	5275	0.305	2	0
212	5300	0.306	5	98
212	5300	0.306	3	18
212	5300	0.306	2	0
213	5325	0.307	5	98
213	5325	0.307	3	18
213	5325	0.307	2	0
214	5350	0.308	5	98
214	5350	0.308	3	18
214	5350	0.308	2	0
215	5375	0.308	5	98
215	5375	0.308	3	18
215	5375	0.308	2	0
216	5400	0.309	5	98
216	5400	0.309	3	18
216	5400	0.309	2	0
217	5425	0.31	5	98
217	5425	0.31	3	18
217	5425	0.31	2	0
218	5450	0.311	5	98
218	5450	0.311	3	18
218	5450	0.311	2	0
219	5475	0.312	5	98
219	5475	0.312	3	18
219	5475	0.312	2	0
220	5500	0.313	5	98
220	5500	0.313	3	18
220	5500	0.313	2	0
221	5525	0.314	5	98
221	5525	0.314	3	18
221	5525	0.314	2	0
222	5550	0.315	5	98
222	5550	0.315	3	18
222	5550	0.315	2	0
223	5575	0.316	5	98
223	5575	0.316	3	18
223	5575	0.316	2	0
224	5600	0.317	5	98
224	5600	0.317	3	18
224	5600	0.317	2	0
225	5625	0.318	5	98
225	5625	0.318	3	18
225	5625	0.318	2	0
226	5650	0.318	5	98
226	5650	0.318	3	18
226	5650	0.318	2	0
227	5675	0.319	5	98
227	5675	0.319	3	18
227	5675	0.319	2	0
228	5700	0.32	5	98
228	5700	0.32	3	18
228	5700	0.32	2	0
229	5725	0.321	5	98
229	5725	0.321	3	18
229	5725	0.321	2	0
230	5750	0.321	5	98
230	5750	0.321	3	18
230	5750	0.321	2	0
231	5775	0.322	5	98
231	5775	0.322	3	18
231	5775	0.322	2	0
232	5800	0.323	5	98
232	5800	0.323	3	18
232	5800	0.323	2	0
233	5825	0.324	5	98
233	5825	0.324	3	18
233	5825	0.324	2	0
234	5850	0.325	5	98
234	5850	0.325	3	18
234	5850	0.325	2	0
235	5875	0.327	5	98
235	5875	0.327	3	18
235	5875	0.327	2	0
236	5900	0.328	5	98
236	5900	0.328	3	18
236	5900	0.328	2	0
237	5925	0.329	5	98
237	5925	0.329	3	18
237	5925	0.329	2	0
238	5950	0.329	5	98
238	5950	0.329	3	18
238	5950	0.329	2	0
239	5975	0.33	5	98
239	5975	0.33	3	18
239	5975	0.33	2	0
240	6000	0.331	5	98
240	6000	0.331	3	18
240	6000	0.331	2	0
241	6025	0.332	5	98
241	6025	0.332	3	18
241	6025	0.332	2	0
242	6050	0.333	5	98
242	6050	0.333	3	18
242	6050	0.333	2	0
243	6075	0.338	5	98
243	6075	0.338	3	18
243	6075	0.338	2	0
244	6100	0.341	5	98
244	6100	0.341	3	18
244	6100	0.341	2	0
245	6125	0.343	5	98
245	6125	0.343	3	18
245	6125	0.343	2	0
246	6150	0.347	5	98
246	6150	0.347	3	18
246	6150	0.347	2	0
247	6175	0.348	5	98
247	6175	0.348	3	18
247	6175	0.348	2	0
248	6200	0.349	5	98
248	6200	0.349	3	18
248	6200	0.349	2	0
249	6225	0.352	5	98
249	6225	0.352	3	18
249	6225	0.352	2	0
250	6250	0.353	5	98
250	6250	0.353	3	18
250	6250	0.353	2	0
251	6275	0.357	5	98
251	6275	0.357	3	18
251	6275	0.357	2	0
252	6300	0.359	5	98
252	6300	0.359	3	18
252	6300	0.359	2	0
253	6325	0.361	5	98
253	6325	0.361	3	18
253	6325	0.361	2	0
254	6350	0.362	5	98
254	6350	0.362	3	18
254	6350	0.362	2	0
255	6375	0.362	5	98
255	6375	0.362	3	18
255	6375	0.362	2	0
256	6400	0.363	5	98
256	6400	0.363	3	18
256	6400	0.363	2	0
257	6425	0.365	5	98
257	6425	0.365	3	18
257	6425	0.365	2	0
258	6450	0.365	5	98
258	6450	0.365	3	18
258	6450	0.365	2	0
259	6475	0.366	5	98
259	6475	0.366	3	18
259	6475	0.366	2	0
260	6500	0.367	5	98
260	6500	0.367	3	18
260	6500	0.367	2	0
261	6525	0.368	5	98
261	6525	0.368	3	18
261	6525	0.368	2	0
262	6550	0.368	5	98
262	6550	0.368	3	18
262	6550	0.368	2	0
263	6575	0.369	5	98
263	6575	0.369	3	18
263	6575	0.369	2	0
264	6600	0.37	5	98
264	6600	0.37	3	18
264	6600	0.37	2	0
265	6625	0.371	5	98
265	6625	0.371	3	18
265	6625	0.371	2	0
266	6650	0.373	5	98
266	6650	0.373	3	18
266	6650	0.373	2	0
267	6675	0.374	5	98
267	6675	0.374	3	18
267	6675	0.374	2	0
268	6700	0.375	5	98
